Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link,IPO_day4_qib,IPO_day4_nii,IPO_day4_rtl
Schloss Bangalore Limited,https://www.chittorgarh.com/ipo/leela-hotels-ipo/2182/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegis Vopak Terminals Limited,https://www.chittorgarh.com/ipo/aegis-vopak-terminals-ipo/2080/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belrise Industries Limited,https://www.chittorgarh.com/ipo/belrise-industries-ipo/2083/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borana Weaves Limited,https://www.chittorgarh.com/ipo/borana-weaves-ipo/2099/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ather Energy Limited,https://www.chittorgarh.com/ipo/ather-energy-ipo/2357/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Power Electrical Equipments Limited,https://www.chittorgarh.com/ipo/quality-power-ipo/1988/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexaware Technologies Limited,https://www.chittorgarh.com/ipo/hexaware-technologies-ipo/1985/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajax Engineering Limited,https://www.chittorgarh.com/ipo/ajax-engineering-ipo/1983/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Agarwal's Health Care Limited,https://www.chittorgarh.com/ipo/dr-agarwals-healthcare-ipo/1975/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denta Water & Infra Solutions Limited,https://www.chittorgarh.com/ipo/denta-water-ipo/1970/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stallion India Fluorochemicals Limited,https://www.chittorgarh.com/ipo/stallion-india-ipo/1967/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laxmi Dental Limited,https://www.chittorgarh.com/ipo/laxmi-dental-ipo/1961/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrant Future Tek Limited,https://www.chittorgarh.com/ipo/quadrant-future-tek-ipo/1954/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Glass Lining Technology Limited,https://www.chittorgarh.com/ipo/standard-glass-lining-ipo/1951/,EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riddhi Display Equipments Limited,https://www.chittorgarh.com/ipo/riddhi-display-ipo/2260/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipwaves Online Limited,https://www.chittorgarh.com/ipo/shipwaves-online-ipo/2296/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreeji Global FMCG Limited,https://www.chittorgarh.com/ipo/shreeji-global-fmcg-ipo/2513/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayesh Logistics Limited,https://www.chittorgarh.com/ipo/jayesh-logistics-ipo/2301/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Minerals & Additives Limited,https://www.chittorgarh.com/ipo/sk-minerals-and-additives-ipo/2426/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sihora Industries Limited,https://www.chittorgarh.com/ipo/sihora-industries-ipo/2566/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mittal Sections Limited,https://www.chittorgarh.com/ipo/mittal-sections-ipo/2269/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shlokka Dyes Limited,https://www.chittorgarh.com/ipo/shlokka-dyes-ipo/2118/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
